Designator,Mid X,Mid Y,Layer,Rotation
C1,89.9,-74.4,top,-90
C2,89.9,-65,top,90
C3,80.4,-59.8,top,0
C4,80.4,-62.3,top,0
C5,80.4,-64.8,top,0
C6,108.26,-78.718,top,90
C7,110.701,-78.718,top,90
C8,113.101,-78.718,top,90
C9,115.501,-78.718,top,90
L1,100.92,-71.7,top,0
R1,85,-73.6,top,90
R2,82.6,-72.9,top,180
R3,82.1,-68.6,top,0
R4,87.2,-70.5,top,180
R5,86.675,-72.375,top,-90
R6,80.3,-69.09,top,-90
R7,80.3,-71.29,top,-90
U1,85.188,-68.15,top,-90
U2,100.3,-56.2,top,0
U3,116.9,-64.2,top,180
