Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric",20.975000,-33.365000,180.000000,top
"C2","0.1uF","C_0603_1608Metric",31.975000,-29.555000,0.000000,top
"C3","22pF","C_0603_1608Metric",20.975000,-36.500000,180.000000,top
"C4","22pF","C_0603_1608Metric",20.975000,-38.445000,180.000000,top
"J1","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",33.000000,-33.920000,0.000000,top
"U1","CH340G","SOIC-16_3.9x9.9mm_P1.27mm",26.475000,-34.000000,0.000000,top
"USB1","USB_Type_A_903-331A1011D10100","USB-A_female",27.000000,-25.360000,180.000000,top
"Y1","12MHz","Crystal_HC49-U_Vertical",22.050000,-42.500000,0.000000,top
